iter	Passed	Remaining
0	165	165698
1	168	83903
2	170	56583
3	172	42834
4	173	34545
5	175	28998
6	176	25035
7	177	22070
8	182	20058
9	184	18313
10	186	16774
11	188	15501
12	189	14410
13	191	13469
14	192	12648
15	195	12000
16	196	11379
17	199	10865
18	200	10366
19	202	9916
20	203	9497
21	205	9119
22	206	8774
23	208	8461
24	210	8220
25	213	7988
26	214	7735
27	215	7498
28	217	7277
29	218	7067
30	219	6874
31	221	6691
32	222	6527
33	225	6399
34	226	6253
35	228	6112
36	229	5971
37	230	5838
38	231	5713
39	233	5592
40	234	5477
41	235	5366
42	236	5262
43	238	5173
44	240	5112
45	242	5028
46	243	4940
47	244	4853
48	245	4770
49	246	4691
50	248	4615
51	249	4542
52	250	4471
53	251	4403
54	252	4344
55	255	4311
56	257	4263
57	258	4206
58	260	4147
59	261	4091
60	262	4039
61	263	3988
62	264	3940
63	266	3892
64	269	3870
65	270	3826
66	272	3792
67	273	3754
68	275	3712
69	276	3670
70	277	3629
71	278	3588
72	279	3549
73	280	3514
74	283	3496
75	285	3467
76	287	3440
77	288	3407
78	289	3376
79	290	3344
80	291	3312
81	293	3281
82	293	3244
83	294	3214
84	296	3186
85	298	3169
86	299	3147
87	301	3124
88	302	3097
89	303	3070
90	304	3044
91	305	3019
92	306	2994
93	308	2969
94	309	2944
95	310	2920
96	311	2900
97	314	2895
98	316	2877
99	317	2856
100	318	2834
101	319	2813
102	320	2792
103	321	2771
104	322	2751
105	323	2731
106	324	2711
107	326	2695
108	329	2691
109	330	2676
110	331	2657
111	332	2639
112	334	2621
113	335	2603
114	336	2586
115	337	2569
116	337	2550
117	339	2533
118	340	2519
119	343	2518
120	344	2503
121	345	2486
122	346	2471
123	347	2456
124	348	2441
125	349	2426
126	350	2410
127	351	2396
128	352	2383
129	354	2370
130	355	2360
131	358	2357
132	359	2346
133	361	2334
134	362	2322
135	363	2309
136	364	2297
137	365	2284
138	367	2273
139	368	2262
140	369	2250
141	370	2239
142	372	2232
143	374	2228
144	376	2218
145	377	2207
146	378	2197
147	380	2188
148	381	2178
149	382	2169
150	384	2159
151	386	2156
152	387	2147
153	389	2139
154	390	2128
155	391	2117
156	392	2108
157	393	2098
158	394	2088
159	395	2078
160	396	2066
161	397	2057
162	398	2048
163	401	2047
164	403	2040
165	404	2033
166	405	2023
167	406	2014
168	407	2005
169	408	1996
170	410	1987
171	411	1978
172	412	1970
173	413	1963
174	415	1959
175	417	1953
176	418	1945
177	419	1937
178	420	1929
179	421	1920
180	422	1912
181	423	1904
182	424	1896
183	426	1889
184	427	1881
185	428	1874
186	430	1873
187	432	1867
188	433	1860
189	434	1852
190	435	1845
191	436	1837
192	437	1830
193	438	1823
194	439	1816
195	441	1809
196	442	1802
197	443	1794
198	452	1821
199	481	1925
200	483	1920
201	484	1915
